objectid,inv_id,invlocid,inc_site,inv_typ,inv_stat,datclosed,contamin,loc_descr,ca_typ,remmeth,excav_dpth,excav_vol,merla,contingncy,oldlocid,contact_nm,contact_ph,co_code,coordtyp,X,Y
367,       CF-10769,17085,"ALMQUIST, RICHARD",E,C,2006-07-25T00:00:00Z,F,Parkers Prairie WEIGH SCALE PIT,EX,LA,NA,NA,N,N,0000017085,MDA Data Practices Records Mng,(651) 201-6698,111,PHOTO,-95.32416320499999,46.15107483300005
368,       CF-10770,17086,"HAGEL, MARK",E,C,2006-12-05T00:00:00Z,F,Mayer W on 70 St from State Hwy 25,EX,LA,0.5,20,N,N,0000017086,MDA Data Practices Records Mng,(651) 201-6698,019,PHOTO,-93.89337810499995,44.877297260000034
369,       CF-10774,17090,FARMERS FEED & GRAIN CO INC,E,C,2007-04-20T00:00:00Z,P,Le Roy Twp.,EX,LA,0.2,15,N,N,0000017090,MDA Data Practices Records Mng,(651) 201-6698,101,PHOTO,-92.498892657,43.50106854500001
370,       CF-10792,17104,PROGRESSIVE AG CENTER LLC,E,C,2007-04-20T00:00:00Z,F,Stewartville,EX, ,NA,NA,N,N,0000017104,MDA Data Practices Records Mng,(651) 201-6698,109,PHOTO,-92.48582287699998,43.850627031000045
371,       CF-10796,17108,"KLEMMENSEN, RANDY",E,C,2007-04-20T00:00:00Z,AA,Newry Twp. DITCH,NC,N,0,0,N,N,0000017108,MDA Data Practices Records Mng,(651) 201-6698,047,PHOTO,-93.04958440600001,43.84080640100001
372,       CF-10814,17123,"STEVENS, MARK",E,C,2006-09-15T00:00:00Z,P,Grace Twp. SOUTH SHOULDER,NA,IS,0,0,N,N,0000017123,MDA Data Practices Records Mng,(651) 201-6698,023,PHOTO,-95.53287599699996,45.09358744100001
373,       CF-10815,17124,MID COUNTY COOP,E,C,2006-07-25T00:00:00Z,P,Cologne,EX,LA,0.2,30,N,N,0000017124,MDA Data Practices Records Mng,(651) 201-6698,019,PHOTO,-93.79509928499999,44.76835000800003
374,       CF-10853,17155,WATONWAN FARM SERVICE,E,C,2007-04-20T00:00:00Z,P,Clarks Grove,EX,LA,0.1,0.6,N,N,0000017155,MDA Data Practices Records Mng,(651) 201-6698,047,PHOTO,-93.32880434399999,43.765972652000016
375,       CF-10949,17215,PROGRESSIVE AG CENTER LLC,E,C,2006-08-18T00:00:00Z,AA,Eyota North Front Street,NC,N,0,0,N,N,0000017215,MDA Data Practices Records Mng,(651) 201-6698,109,PHOTO,-92.23196693599999,43.989785186000006
376,       CF-10952,17218,CENTRAL VALLEY COOP,E,C,2007-04-30T00:00:00Z,AA,Kenyon,NC,N,0,0,N,N,0000017218,MDA Data Practices Records Mng,(651) 201-6698,049,PHOTO,-92.97935247799995,44.26538083500003
377,       CF-10972,17265,EDINA AQUATIC CENTER,E,C,2007-04-30T00:00:00Z,SP,Edina,NC,N,0,0,N,N,0000017265,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.33534303799996,44.88495338800004
378,       CF-10992,17294,NORTHERN COUNTRY COOP,E,C,2007-04-30T00:00:00Z,AA,Emmons,NC,N,0,0,N,N,0000017294,MDA Data Practices Records Mng,(651) 201-6698,047,PHOTO,-93.49542015699996,43.499904757000024
379,       CF-11016,17307,PROGRESSIVE AG CENTER LLC,E,C,2006-04-20T00:00:00Z,AA,Saint Charles,NC,N,0,0,N,N,0000017307,MDA Data Practices Records Mng,(651) 201-6698,169,PHOTO,-92.068880643,43.968719806000024
380,       CF-11047,17347,FARMERS UNION OIL CO,E,C,2006-10-17T00:00:00Z,AA,Roseau 1500 Center St,NC,N,0,0,N,N,0000017347,MDA Data Practices Records Mng,(651) 201-6698,135,PHOTO,-95.78600117399998,48.84500559400004
381,       CF-10932,17201,"WELSCHER, JAMES",E,C,2007-04-30T00:00:00Z,PF,Caledonia Twp.,U,U,NA,NA,N,N,0000017201,MDA Data Practices Records Mng,(651) 201-6698,055,PHOTO,-91.584993489,43.63531427800001
382,       CF-11071,17374,TRIO DEVELOPMENT LLC,E,C,2007-04-30T00:00:00Z,P,Minneapolis,EX,LD,0.1,NA,N,N,0000017374,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.22942488999996,44.998127033
383,       CF-11066,17368,FARMERS COOP ELEVATOR CO,E,C,2007-04-30T00:00:00Z,P,Hart Twp.,EX,LA,0.5,NA,N,N,0000017368,MDA Data Practices Records Mng,(651) 201-6698,169,PHOTO,-91.757769429,43.90788611100004
384,       CF-10941,17210,CHS INC DBA PRAIRIE LAKES COOP,E,C,2007-04-30T00:00:00Z,AA,White Bear Lake Twp.,NC,N,0,0,N,N,0000017210,MDA Data Practices Records Mng,(651) 201-6698,121,PHOTO,-95.566392167,45.61502289800001
385,       CF-11036,17338,CONTINENTAL NITROGEN & RESOURCES,E,C,2006-09-20T00:00:00Z,F,Rosemount,NC,N,0,0,N,N,0000017338,MDA Data Practices Records Mng,(651) 201-6698,037,PHOTO,-93.02981288999996,44.76004697600001
386,       CF-11061,17366,LO-HI AVIATION,E,C,2006-10-20T00:00:00Z,P,Osage Twp. Ungrazed grass field,EX,LD,NA,116,N,N,0000017366,MDA Data Practices Records Mng,(651) 201-6698,005,PHOTO,-95.16779223099996,46.915300874000025
387,       CF-11281,17509,WATONWAN FARM SERVICE,E,C,2007-02-20T00:00:00Z,AA,Pleasant Mound Twp. 441 E Cleveland Ave,NC,N,0,0,N,N,0000017509,MDA Data Practices Records Mng,(651) 201-6698,013,PHOTO,-94.256233452,43.89550614900003
388,       CF-11283,17512,CENTRA SOTA COOPERATIVE,E,C,2007-01-11T00:00:00Z,AA,Harvey Twp. Field    3.5 ml S of Eden Valley,NC,N,0,0,N,N,0000017512,MDA Data Practices Records Mng,(651) 201-6698,093,PHOTO,-94.57539685899997,45.219628604000036
389,       CF-11294,17529,UAP MIDWEST,E,C,2007-02-20T00:00:00Z,F,Rost Twp. ditch,EX,LA,0.30000001,5,N,N,0000017529,MDA Data Practices Records Mng,(651) 201-6698,063,PHOTO,-95.24579815299995,43.61668910700001
390,       CF-11300,17531,WACONIA FARM SUPPLY,E,C,2007-02-15T00:00:00Z,AA,Loretto along CR 19,NC,N,0,0,N,N,0000017531,MDA Data Practices Records Mng,(651) 201-6698,019,PHOTO,-93.63514461599999,45.05836279900001
391,       CF-11306,17541,HELENA CHEMICAL COMPANY,E,C,2007-06-20T00:00:00Z,F,Marshall Hay 19 near airport,EX,LD,NA,113,N,N,0000017541,MDA Data Practices Records Mng,(651) 201-6698,089,PHOTO,-95.81431436499997,44.44179763100004
392,       CF-11340,17573,ROCKFORD HIGH SCHOOL,E,C,2007-11-15T00:00:00Z,P,Rockford High School,U,U,0,0,N,N,0000017573,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.72149757899996,45.08727366900001
393,       CF-11046,17346,CRYSTAL VALLEY COOP,E,C,2006-12-15T00:00:00Z,AA,Nicollet Twp. 46567 471 LANE,NC,N,0,0,N,N,0000017346,MDA Data Practices Records Mng,(651) 201-6698,013,PHOTO,-94.20869856399997,44.27549328600003
394,       CF-11232,17468,KOCH NITROGEN COMPANY,E,C,2007-02-20T00:00:00Z,AA,Vernon Center Twp. 16078 Hwy 169  56034,NC,N,0,0,N,N,0000017468,MDA Data Practices Records Mng,(651) 201-6698,013,PHOTO,-94.17326716999997,44.01322076500003
395,       CF-11276,17505,CENTRAL VALLEY COOP,E,C,2007-01-20T00:00:00Z,AA,Holden Twp. 3301 NW 21st Ave  55060,NC,N,0,0,N,N,0000017505,MDA Data Practices Records Mng,(651) 201-6698,147,PHOTO,-93.01871752099999,44.31865159
396,       CF-11160,17424,ROY BISEK HOME,E,C,2006-11-15T00:00:00Z,P,Rockwell Twp. 1588 300th St. Bsmnt,NC,N,0,0,N,N,0000017424,MDA Data Practices Records Mng,(651) 201-6698,107,PHOTO,-96.435306459,47.236933264000015
397,       CF-10917,17310,CENEX -DBA EASTERN FARMERS COOP,E,C,2007-03-30T00:00:00Z,P,Rose Dell Twp. SE COR SE 1/4 SECTION 5,U,U,NA,NA,N,N,0000017310,MDA Data Practices Records Mng,(651) 201-6698,133,PHOTO,-96.372260396,43.83485617900004
398,       CF-11155,17415,UAP NORTHERN PLAINS,E,C,2006-11-21T00:00:00Z,F,Thompson Twp.,P,LA,0,0,N,N,0000017415,MDA Data Practices Records Mng,(651) 201-6698,069,PHOTO,-96.925664498,48.74738201700001
399,       CF-11242,17549,CRYSTAL VALLEY COOP-LK CRYSTAL,E,C,2007-04-04T00:00:00Z,AA,Garden City Twp. 711 W Humphrey,NC,N,0,0,N,N,0000017549,MDA Data Practices Records Mng,(651) 201-6698,013,PHOTO,-94.231920205,44.104731671000025
400,       CF-11285,17514,BELLE PLAINE COOP,E,C,2007-01-10T00:00:00Z,U,Belle Plaine ,EX,LA,NA,NA,N,N,0000017514,MDA Data Practices Records Mng,(651) 201-6698,139,PHOTO,-93.753981501,44.623884078
401,       CF-11178,17444,RIVER COUNTRY COOP,E,C,2006-12-05T00:00:00Z,AA,Marshan Twp. ON SITE,NC,N,0,0,N,N,0000017444,MDA Data Practices Records Mng,(651) 201-6698,037,PHOTO,-92.793370939,44.686779759000046
402,       CF-11089,17380,BETTIN PEST CONTROL INC,E,C,2006-11-15T00:00:00Z,P,Girard Twp. CTY RD 5 NEAR 425TH ST,NC,N,0,0,N,N,0000017380,MDA Data Practices Records Mng,(651) 201-6698,111,PHOTO,-95.60483291499997,46.28296908100003
403,       CF-11050,17353,SCOTTS HELICOPTER SERVICES,E,C,2006-11-14T00:00:00Z,P,Oak Valley Twp. RD Sfc S ON 75 - HWY 210 & 75,NA,N,0,0,N,N,0000017353,MDA Data Practices Records Mng,(651) 201-6698,079,PHOTO,-95.18620585399998,46.32555844900003
404,   DJH101115530,474101017508,"SORENSON, STEVE",E,C,NA,AA,Madelia Twp., , ,NA,NA,N,N,NA,Jared Schmaedeke,(651) 201-6387,165,PHOTO,-94.37706945999997,44.09389009300003
405,       CF-11049,17349,DAVEY TREE,E,C,2006-10-26T00:00:00Z,F,Tonka Bay 35 Gideons Road,U,U,NA,NA,N,N,0000017349,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.58433385399996,44.915078754000035
406,       CF-11310,17542,LAFAYETTE CLUB,E,C,2006-10-26T00:00:00Z,SP,Minnetonka Beach 2800 Northview Road,NC,N,0,0,N,N,0000017542,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.59342374299996,44.94329055200001
407,      PLK219198,1811138098,ERLER,E,C,2009-10-06T00:00:00Z,U,Ellington Twp.,U,U,NA,NA,N,N,1811138098,MDA Data Practices Records Mng,(651) 201-6698,039,PHOTO,-92.98572153699996,44.13597826900002
408,       CF-11321,17553,ENTERPRISE/MAGELLEN,E,C,2007-07-26T00:00:00Z,AA,Vernon Center Twp. 16082 US Hwy 169,NC,N,0,0,N,N,0000017553,MDA Data Practices Records Mng,(651) 201-6698,013,PHOTO,-94.17341416,44.01364839500002
409,       CF-11154,17412,RIVER COUNTRY COOP,E,C,2006-08-24T00:00:00Z,AA,Marshan Twp. 15301 180th St,NC,N,0,0,N,N,0000017412,MDA Data Practices Records Mng,(651) 201-6698,037,PHOTO,-92.79291147099997,44.68676701700002
410,       CF-11220,17458,MID COUNTY COOP - COLOGNE,E,C,2006-12-13T00:00:00Z,AA,Cologne 700 W Lake St,NC,N,0,0,N,N,0000017458,MDA Data Practices Records Mng,(651) 201-6698,019,PHOTO,-93.79626655999999,44.76829558000003
411,       CF-11230,17467,COLD SPRING COOP,E,C,2006-11-29T00:00:00Z,F,Cold Spring 301 S 1st Street,P,N,0,0,N,N,0000017467,MDA Data Practices Records Mng,(651) 201-6698,145,PHOTO,-94.42798716299995,45.45457798900003
412,       CF-11274,17503,MINNESOTA VALLEY IRRIGATION,E,C,2007-01-20T00:00:00Z,P,Perham Twp. 4263 Cty Rd 80,EX,LA,0.2,NA,N,N,0000017503,MDA Data Practices Records Mng,(651) 201-6698,111,PHOTO,-95.587080673,46.606016802000056
413,       CF-11278,17507,AL KLINKNER,E,C,2007-01-18T00:00:00Z,AA,Butternut Valley Twp. 711 W Humphrey St,NC,N,0,0,N,N,0000017507,MDA Data Practices Records Mng,(651) 201-6698,013,PHOTO,-94.35749205899998,44.179883485000005
414,       CF-11325,17556,PROGRESSIVE AG COOP,E,C,2007-03-20T00:00:00Z,AA,Glenville US Hwy 65,NC,N,0,0,N,N,0000017556,MDA Data Practices Records Mng,(651) 201-6698,047,PHOTO,-93.28468229399999,43.571802144
415,       CF-11229,17466,"MAANUM, TOM",E,C,2007-07-09T00:00:00Z,F,Moonshine Twp. 72445 State Hwy 28,EX,LA,1.5,200,N,N,0000017466,MDA Data Practices Records Mng,(651) 201-6698,011,PHOTO,-96.32322210799998,45.57035437300004
416,       CF-11286,17515,CENEX HARVEST STATES,E,C,2007-04-12T00:00:00Z,AA,Pleasant Valley Twp. 4ml No Dexter Mwr Cty 10,NC,N,0,0,N,N,0000017515,MDA Data Practices Records Mng,(651) 201-6698,099,PHOTO,-92.66738493499997,43.769070865
417,       CF-11338,17571,BENSON FARM SERVICE - WINONA,E,C,2007-07-09T00:00:00Z,U,Utica Twp. 600 Debra Drive,U,U,NA,NA,N,N,0000017571,MDA Data Practices Records Mng,(651) 201-6698,169,PHOTO,-91.89717683199996,43.98338875100001
418,       CF-11351,17578,PROGRESSIVE AG,E,C,2007-07-10T00:00:00Z,AA,Haverhill Twp.65TH St. NE,U,U,NA,NA,N,N,0000017578,MDA Data Practices Records Mng,(651) 201-6698,157,PHOTO,-92.42886674099998,44.089787718000025
419,       CF-11348,17576,PROGRESSIVE AG - FREEBORN,E,C,2006-07-10T00:00:00Z,F,Myrtle 101 Railroad Ave,EX,LA,0.2,NA,N,N,0000017576,MDA Data Practices Records Mng,(651) 201-6698,047,PHOTO,-93.16510630799996,43.56317113600005
420,       CF-11117,17392,"TRUDEAU, MIKE",E,C,2007-05-02T00:00:00Z,AA,Silverton Twp. SW Cof 180th AveNE&190thStNE,NC,N,0,0,N,N,0000017392,MDA Data Practices Records Mng,(651) 201-6698,113,PHOTO,-96.09090173999999,48.14968213700001
421,       CF-11468,17660,MN VALLEY AG COOP,E,C,2007-08-06T00:00:00Z,AA,Webster Twp. Hwy 21 & Hwy 13 S,NC,N,0,0,N,N,0000017660,MDA Data Practices Records Mng,(651) 201-6698,079,PHOTO,-93.35065518799996,44.53099654000005
422,       CF-11363,17586,CHANDLER COOP,E,C,2007-07-02T00:00:00Z,F,"Cameron Township, Sec 3, NW 1/4 of the SE 1/4",EX,LA,0.1,NA,N,N,0000017586,MDA Data Practices Records Mng,(651) 201-6698,101,PHOTO,-95.98977302200001,44.10062645300002
423,       CF-11352,17579,WESTERN CONSOLIDATED COOP,E,C,2007-06-26T00:00:00Z,F,West Bank Twp. 101 Rand Street,EX,LA,0,0,N,N,0000017579,MDA Data Practices Records Mng,(651) 201-6698,151,PHOTO,-95.77647306399996,45.224450348000005
424,       CF-11507,17699,CENTRAL VALLEY COOP,E,C,2007-08-06T00:00:00Z,AA,Kenyon 100 Country Boulevard,NC,N,0,0,N,N,0000017699,MDA Data Practices Records Mng,(651) 201-6698,049,PHOTO,-92.97935286299997,44.26548887400003
425,       CF-11488,17681,DAVEY TREE,E,C,2007-09-11T00:00:00Z,PF,Plymouth 2500 Fernbrook Ln N,EX,LA,0,0,N,N,0000017681,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.522398425,44.98972766200001
426,       CF-11495,17686,CENTRAL LAKES COOP,E,C,2007-09-13T00:00:00Z,F,Atwater 320 Atlantic Ave,EX,LA,0.1,0.2,N,N,0000017686,MDA Data Practices Records Mng,(651) 201-6698,067,PHOTO,-94.77289964199997,45.137329041000044
427,       CF-11361,17585,WINNESHIEK COOP,E,C,2007-07-30T00:00:00Z,F,Bristol Twp. 24252 Hwy 9,EX,LA,2,30,N,N,0000017585,MDA Data Practices Records Mng,(651) 201-6698,045,PHOTO,-92.136858776,43.50666134200003
428,       CF-11512,17702,GEORGE BARD,E,C,2007-09-20T00:00:00Z,P,Minneapolis 5609 Dale Ave,EX,LA,0,0.1,N,N,0000017702,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.27820215099996,44.89586914200004
429,       CF-11354,17620,PROGRESSIVE AG COOP - ELEVATOR,E,C,2007-06-26T00:00:00Z,AA,Glenville,NC,N,0,0,N,N,0000017620,MDA Data Practices Records Mng,(651) 201-6698,047,PHOTO,-93.28477461899996,43.571862372000055
430,       CF-11157,17419,TRUGREEN CHEMLAWN-ROCHESTER,E,C,2007-08-22T00:00:00Z,P,Austin 663610th Ave SW,EX,U,NA,NA,N,N,0000017419,MDA Data Practices Records Mng,(651) 201-6698,109,PHOTO,-92.96223837299999,43.700809703000004
431,       CF-11476,17668,CROP PRODUCTION SERVICES,E,C,2006-09-05T00:00:00Z,P,Perham Twp.42373 State Hwy 78,EX,LA,NA,NA,N,N,0000017668,MDA Data Practices Records Mng,(651) 201-6698,111,PHOTO,-95.57437566099998,46.576466098000026
432,       CF-11290,17524,GENE VERMEER,E,C,2007-08-17T00:00:00Z,AA,Denver Twp. 1168 241st St  SE 1/4 of Sec 7,NC,N,0,0,N,N,0000017524,MDA Data Practices Records Mng,(651) 201-6698,133,PHOTO,-96.28488846099998,43.82877721300002
433,       CF-11301,17532,AGVANTAGE,E,C,2007-05-29T00:00:00Z,AA,Windom Twp. N 80 field of SW Sec 32,NC,N,0,0,N,N,0000017532,MDA Data Practices Records Mng,(651) 201-6698,115,PHOTO,-92.90486090299999,43.59271853200005
434,       CF-11508,17700,PRAIRIE LAKES COOP,E,C,2007-08-06T00:00:00Z,AA,White Bear Lake Twp. 29468 S Hwy 28 Ind Park,NC,N,0,0,N,N,0000017700,MDA Data Practices Records Mng,(651) 201-6698,121,PHOTO,-95.564731746,45.61500645700005
435,       CF-11415,17622,RIVER COUNTRY COOP,E,C,2007-08-01T00:00:00Z,AA,Randolph 4411 Upper 291st St,NC,N,0,0,N,N,0000017622,MDA Data Practices Records Mng,(651) 201-6698,037,PHOTO,-93.016370171,44.5295739
436,       CF-11438,17640,MORE'S AG,E,C,2007-06-20T00:00:00Z,AA,Emerald Twp. 11018 State Hwy 254,NC,N,0,0,N,N,0000017640,MDA Data Practices Records Mng,(651) 201-6698,043,PHOTO,-93.926398898,43.64520841800004
437,       CF-11429,17634,RIVER COUNTRY COOP,E,C,2007-07-20T00:00:00Z,AA,Hampton Twp. 5454 250th St. E,NC,N,0,0,N,N,0000017634,MDA Data Practices Records Mng,(651) 201-6698,037,PHOTO,-92.99626590099996,44.58625322300003
438,       CF-11502,17694,GREENWAY COOP - CHESTER #510,E,C,2007-08-03T00:00:00Z,AA,Marion Twp. 6435 Hwy 14 E,NC,N,0,0,N,N,0000017694,MDA Data Practices Records Mng,(651) 201-6698,109,PHOTO,-92.34993335600001,44.00559809400005
439,       CF-11498,17691,HOOPMAN,E,C,2007-08-03T00:00:00Z,U,York Twp. 7 1/4 ML e OF Hwy 63 on CR44,P,O,0,0,N,N,0000017691,MDA Data Practices Records Mng,(651) 201-6698,045,PHOTO,-92.22387140299998,43.54154616200003
440,       CF-11395,17609,NTA LIMITED,E,C,2007-07-22T00:00:00Z,U,"Courtland Twp. East of New Ulm, Hwy 14 and 15",U,U,NA,NA,N,N,0000017609,MDA Data Practices Records Mng,(651) 201-6698,015,PHOTO,-94.44053695099996,44.324738815000046
441,       CF-11391,17605,LEAF RIVER AG SERVICES,E,C,2007-07-14T00:00:00Z,F,Bertha Twp. County 23 South of County 24,EX,LA,0.1,1,N,N,0000017605,MDA Data Practices Records Mng,(651) 201-6698,153,PHOTO,-95.02116773699998,46.25697308100001
442,       CF-11388,17604,ST. MARTIN COOP,E,C,2007-07-09T00:00:00Z,F,Paynesville Twp. Int. Cty Rd 33 & 185th St,EX,LA,0,0,N,N,0000017604,MDA Data Practices Records Mng,(651) 201-6698,145,PHOTO,-94.70174348999996,45.391679064000016
443,       CF-11383,17599,ARROWWOOD RESORT,E,C,2007-08-08T00:00:00Z,P,La Grand Twp. 2100 Arrowwood Lane,NC,N,0,0,N,N,0000017599,MDA Data Practices Records Mng,(651) 201-6698,041,PHOTO,-95.41179789099999,45.928226779000056
444,   PLK101048562,181101002237,RIVER COUNTRY COOP,E,C,2012-01-12T00:00:00Z,U,Marshan Twp,U,U,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,037,PHOTO,-92.79266517299999,44.686577518000036
445,       CF-11380,17596,CENTRAL VALLEY COOP,E,C,2007-06-01T00:00:00Z,AA,Northfield Twp. 1482 Kendall Ct,NC,N,0,0,N,N,0000017596,MDA Data Practices Records Mng,(651) 201-6698,131,PHOTO,-93.07616416299999,44.37084553600005
446,       CF-11423,17712,SHELLROCK AG,E,C,2007-08-12T00:00:00Z,AA,Shell Rock Twp. 14546 Hwy 65,NC,N,0,0,N,N,0000017712,MDA Data Practices Records Mng,(651) 201-6698,047,PHOTO,-93.274172395,43.56266784300004
447,       CF-11327,17557,CEDAR AMERICAN RAIL HOLDINGS,E,C,2007-07-05T00:00:00Z,AA,Lake Twp. 2 Ml E  Lake City parallels Hwy 61,NC,N,0,0,N,N,0000017557,MDA Data Practices Records Mng,(651) 201-6698,157,PHOTO,-92.21240657499999,44.41862566900005
448,       CF-11385,17601,CARGILL,E,C,2007-07-11T00:00:00Z,F,"Alberta Box 36, near railroad tracks",NC,N,0,0,N,N,0000017601,MDA Data Practices Records Mng,(651) 201-6698,149,PHOTO,-96.05008773899999,45.57457534700001
449,       CF-11350,17577,MID COUNTRY COOP,E,C,2007-06-06T00:00:00Z,AA,Cologne 700 W. Lake St,NC,N,0,0,N,N,0000017577,MDA Data Practices Records Mng,(651) 201-6698,019,PHOTO,-93.79670086199997,44.76824646900002
450,       CF-11328,17558,MGK (MCLAUGHLIN-GORMEY-KING),E,C,2007-05-21T00:00:00Z,O,Chaska 4001 Peavey Rd,U,O,0,0.2,N,N,0000017558,MDA Data Practices Records Mng,(651) 201-6698,019,PHOTO,-93.59430317799996,44.850717513000006
451,       CF-11317,17550,CONTINENTAL NITROGEN RESOURCES,E,C,2007-08-18T00:00:00Z,AA,Rosemount 12955 Industrial Blvd,NC,N,0,0,N,N,0000017550,MDA Data Practices Records Mng,(651) 201-6698,037,PHOTO,-93.02982350899998,44.760442985000054
452,       CF-11319,17552,CITY OF WOODBURY,E,C,2007-05-20T00:00:00Z,O,Woodbury 8160 Afton Rd,NC,N,0,0,N,N,0000017552,MDA Data Practices Records Mng,(651) 201-6698,163,PHOTO,-92.938881796999965,44.918188531000055
453,       CF-11528,17730,ANDERSON  LYLE,E,C,2007-09-25T00:00:00Z,P,"Espelie Twp. Sof woods, Sof drv N end wht fld",NC,N,0,0,N,N,0000017730,MDA Data Practices Records Mng,(651) 201-6698,089,PHOTO,-95.67802137899997,48.241986983000004
454,       CF-11342,17736,PETERSONS NORTH BRANCH MILL,E,C,2007-08-16T00:00:00Z,AA,Cambridge 414 Railroad St. S,NC,N,0,0,N,N,0000017736,MDA Data Practices Records Mng,(651) 201-6698,059,PHOTO,-93.22074345599998,45.569098035000025
455,       CF-11357,17582,CENEX HARVEST STATES,E,C,2007-07-29T00:00:00Z,F,Levin Twp. Dale farm yard & cnty 28,EX,LA,0,0,N,N,0000017582,MDA Data Practices Records Mng,(651) 201-6698,121,PHOTO,-95.30059716699998,45.72257971700003
456,       CF-11358,17583,CENTRAL VELLEY COOP,E,C,2007-09-27T00:00:00Z,P,Clinton Falls Twp. 3301 NW 21st Ave.,EX,LA,2,3,N,N,0000017583,MDA Data Practices Records Mng,(651) 201-6698,147,PHOTO,-93.24335698199997,44.119901825
457,       CF-11384,17600,CARGILL INC.,E,C,2007-09-27T00:00:00Z,P,"Roseville Twp. Off SH27, near 19320 SH 27",EX,LA,NA,NA,N,N,0000017600,MDA Data Practices Records Mng,(651) 201-6698,051,PHOTO,-95.94447987699999,45.83188651500001
458,       CF-11345,17574,PROGRESSIVE AG CENTER,E,C,2007-09-27T00:00:00Z,AA,Eyota 1 North Front St,NC,N,0,0,N,N,0000017574,MDA Data Practices Records Mng,(651) 201-6698,109,PHOTO,-92.23206117899997,43.98976437500005
459,       CF-11408,17618,BLOMKEST FERTILIZER,E,C,2007-09-27T00:00:00Z,O,"Fahlun Twp. Johnson Property,",EX,LA,NA,NA,N,N,0000017618,MDA Data Practices Records Mng,(651) 201-6698,067,PHOTO,-94.87994082399996,45.056943741000055
460,       CF-11435,17636,TRUGREEN CHEMLAWN,E,C,2007-09-28T00:00:00Z,PF,Minneapolis 1909 Penn Ave S,U,U,NA,NA,N,N,0000017636,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.30896636799997,44.964839926000025
461,       CF-11473,17667,TERI JON AVIATION,E,C,2007-09-28T00:00:00Z,P,"Mulligan Twp.SwtCfld  SWq, N 1/2 SW cor",NC,N,0,0,N,N,0000017667,MDA Data Practices Records Mng,(651) 201-6698,015,PHOTO,-94.830321921,44.128279451000026
462,       CF-11547,17756,NATURAL LAWN,E,C,2007-09-28T00:00:00Z,PF,Eden Prairie 6279 BURY DR ,NC,N,0,0,N,N,0000017756,MDA Data Practices Records Mng,(651) 201-6698,053,PHOTO,-93.45114728799996,44.89082909900003
463,       CF-11550,17759,AGRA RESOURCES CORP DBA EXOL,E,C,2007-09-28T00:00:00Z,O,Freeman Twp. S Side of Shop,NC,N,0,0,N,N,0000017759,MDA Data Practices Records Mng,(651) 201-6698,047,PHOTO,-93.30195727699999,43.57649402200002
464,       CF-11477,17734,"NUEST, STEVEN",E,C,2007-10-04T00:00:00Z,F,Hoff Twp. Ingebretson driveway,EX,LA,NA,NA,N,N,0000017734,MDA Data Practices Records Mng,(651) 201-6698,121,PHOTO,-95.64747114699998,45.42140809600005
465,       CF-11524,17717,HENRY TRUCKING,E,C,2007-10-09T00:00:00Z,O,"Brooton Highway 55, 1 mile East of",EX,LA,0,0,N,N,0000017717,MDA Data Practices Records Mng,(651) 201-6698,145,PHOTO,-95.10632383899997,45.49201182400003
466,       CF-11572,17784,WATONWAN FARM SERVICE,E,C,2007-10-16T00:00:00Z,F,Verona Twp. 1 mile S Winnebago,EX,LA,0,NA,N,N,0000017784,MDA Data Practices Records Mng,(651) 201-6698,043,PHOTO,-94.16294167799998,43.745951441000045
467,   PLK101068020,181101010275,HAYWARD COOP,E,C,2017-01-10T00:00:00Z,AA,Albert Lea Twp, , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,047,PHOTO,-93.29382761799997,43.66946470500005
468,   PLK101091010,181101013938,UNKNOWN,E,C,2019-09-26T00:00:00Z,F,Wakefield Twp., , ,NA,NA,N,N,NA,MDA Data Practices Records Mng,(651) 201-6698,145,PHOTO,-94.45461342299996,45.50000933800004
469,       CF-11565,17777,GREENWAY COOP,E,C,2007-11-21T00:00:00Z,P,Marion Twp. ,U,U,NA,NA,N,N,0000017777,MDA Data Practices Records Mng,(651) 201-6698,109,PHOTO,-92.349963124,44.00456596800001
470,       CF-11523,17715,RIVER COUNTRY COOP,E,C,2007-10-03T00:00:00Z,AA,Marshan Twp.15301 180TH ST E,NC,N,0,0,N,N,0000017715,MDA Data Practices Records Mng,(651) 201-6698,037,PHOTO,-92.79313607,44.68669855200005
471,       CF-11554,17762,BEAVER CREEK TRUCKING,E,C,2007-10-16T00:00:00Z,F,Roseland Twp. Cnty Rd 5 turns into Cnty Rd 1,EX,LA,NA,NA,N,N,0000017762,MDA Data Practices Records Mng,(651) 201-6698,067,PHOTO,-95.10477102499999,44.893013670000016
